subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
12,4,v4,2,new,zorp,no,FALSE,zorp,new,7/8/19,13:24,8776,1,left,right
11,4,v1,5,,wug,no,TRUE,wug,nomodifier,7/8/19,12:59,2829,2,right,right
11,4,v1,6,new,sprock,no,TRUE,sprock,new,7/8/19,12:59,2732,2,right,right
12,4,v4,3,,gade,no,FALSE,gade,nomodifier,7/8/19,13:24,8381,2,right,left
11,4,v1,7,new,koba,yes,TRUE,koba,new,7/8/19,12:59,3475,2,right,right
12,4,v4,4,new,boti,yes,TRUE,boti,new,7/8/19,13:24,7317,1,left,left
11,4,v1,8,new,blicket,yes,TRUE,blicket,new,7/8/19,12:59,4678,1,left,left
12,4,v4,5,,sprock,no,TRUE,sprock,nomodifier,7/8/19,13:24,22792,1,left,left
12,4,v4,6,,koba,yes,TRUE,koba,nomodifier,7/8/19,13:24,15656,2,right,right
12,4,v4,7,,blicket,yes,TRUE,blicket,nomodifier,7/8/19,13:24,10739,1,left,left
12,4,v4,8,new,wug,no,TRUE,wug,new,7/8/19,13:24,5775,1,left,left
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
13,3,v1,1,new,koba,yes,FALSE,koba,new,7/8/19,13:46,3477,2,right,left
13,3,v1,2,new,sprock,no,TRUE,sprock,new,7/8/19,13:46,3105,2,right,right
13,3,v1,3,,toma,yes,TRUE,toma,nomodifier,7/8/19,13:46,3018,1,left,left
13,3,v1,4,,zorp,no,TRUE,zorp,nomodifier,7/8/19,13:46,4357,1,left,left
13,3,v1,5,new,blicket,yes,TRUE,blicket,new,7/8/19,13:46,3570,1,left,left
13,3,v1,6,new,gade,no,TRUE,gade,new,7/8/19,13:46,5382,2,right,right
13,3,v1,7,,wug,no,TRUE,wug,nomodifier,7/8/19,13:46,3309,1,left,left
13,3,v1,8,,boti,yes,TRUE,boti,nomodifier,7/8/19,13:46,4975,1,left,left
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
