subid, subage, version, counter, mod, targetname, response, chosetarget, targetnamecheck, modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside,sidesmatchorder,targetnamefirst,distractorname 
0,0,v6,4,new,zorp,yes,true,zorp,new,12/3/2019,10:26,5938,2,right,right,false,true,wug
0,0,v1,1,,zorp,no,true,zorp,nomodifier,12/3/2019,10:27,9591,1,left,left,false,false,wug
0,0,v1,2,new,blicket,yes,true,blicket,new,12/3/2019,10:27,6090,2,right,right,false,true,koba
0,0,v1,3,,boti,yes,true,boti,nomodifier,12/3/2019,10:27,4077,1,left,left,true,true,toma
subid, subage, version, counter, mod, targetname, response, chosetarget, targetnamecheck, modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside,sidesmatchorder,targetnamefirst,distractorname 
subid, subage, version, counter, mod, targetname, response, chosetarget, targetnamecheck, modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside,sidesmatchorder,targetnamefirst,distractorname 
0,0,v8,1,,sprock,no,false,sprock,nomodifier,12/3/2019,10:28,4369,1,left,right,true,true,gade
0,0,v1,4,new,sprock,no,false,sprock,new,12/3/2019,10:27,6642,2,right,left,true,false,gade
0,0,v8,2,,blicket,yes,false,blicket,nomodifier,12/3/2019,10:28,5133,2,right,left,false,true,koba
subid, subage, version, counter, mod, targetname, response, chosetarget, targetnamecheck, modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside,sidesmatchorder,targetnamefirst,distractorname 
0,0,v8,3,new,boti,yes,true,boti,new,12/3/2019,10:28,17155,2,right,right,true,false,toma
0,0,v8,4,new,zorp,no,false,zorp,new,12/3/2019,10:28,5378,1,left,right,false,false,wug
0,0,v7,1,new,gade,yes,false,gade,new,12/3/2019,10:29,18283,1,left,right,false,false,sprock
subid, subage, version, counter, mod, targetname, response, chosetarget, targetnamecheck, modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside,sidesmatchorder,targetnamefirst,distractorname 
0,0,v7,1,new,gade,yes,false,gade,new,12/3/2019,10:32,5445,1,left,right,true,true,sprock
subid, subage, version, counter, mod, targetname, response, chosetarget, targetnamecheck, modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside,sidesmatchorder,targetnamefirst,distractorname 
0,0,v7,2,,boti,no,false,boti,nomodifier,12/3/2019,10:32,4379,1,left,right,false,false,toma
0,0,v2,1,,sprock,yes,true,sprock,nomodifier,12/3/2019,10:32,7879,2,right,right,false,true,gade
0,0,v7,3,new,koba,no,true,koba,new,12/3/2019,10:32,5244,2,right,right,true,false,blicket
0,0,v2,2,new,wug,yes,true,wug,new,12/3/2019,10:32,5532,1,left,left,false,false,zorp
0,0,v7,4,,zorp,yes,false,zorp,nomodifier,12/3/2019,10:32,4978,2,right,left,false,true,wug
0,0,v2,3,new,toma,no,false,toma,new,12/3/2019,10:32,4912,2,right,left,true,false,boti
0,0,v2,4,,blicket,no,true,blicket,nomodifier,12/3/2019,10:32,6007,1,left,left,true,true,koba
subid, subage, version, counter, mod, targetname, response, chosetarget, targetnamecheck, modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside,sidesmatchorder,targetnamefirst,distractorname 
0,0,v3,1,,wug,yes,true,wug,nomodifier,12/3/2019,10:33,4729,1,left,left,true,true,zorp
subid, subage, version, counter, mod, targetname, response, chosetarget, targetnamecheck, modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside,sidesmatchorder,targetnamefirst,distractorname 
0,0,v3,2,new,sprock,yes,true,sprock,new,12/3/2019,10:33,4016,2,right,right,false,true,gade
0,0,v1,1,,boti,yes,false,boti,nomodifier,12/3/2019,10:34,6924,2,right,left,true,false,toma
0,0,v3,3,,toma,no,false,toma,nomodifier,12/3/2019,10:33,4032,1,left,right,false,false,boti
0,0,v1,2,new,sprock,no,true,sprock,new,12/3/2019,10:34,9739,2,right,right,false,true,gade
0,0,v3,4,new,blicket,no,true,blicket,new,12/3/2019,10:33,4754,2,right,right,true,false,koba
subid, subage, version, counter, mod, targetname, response, chosetarget, targetnamecheck, modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside,sidesmatchorder,targetnamefirst,distractorname 
0,0,v4,1,new,wug,no,true,wug,new,12/3/2019,10:35,8975,1,left,left,true,true,zorp
0,0,v4,2,new,toma,yes,true,toma,new,12/3/2019,10:35,4723,2,right,right,false,true,boti
0,0,v4,3,,gade,no,false,gade,nomodifier,12/3/2019,10:35,5236,1,left,right,false,false,sprock
0,0,v4,4,,koba,yes,true,koba,nomodifier,12/3/2019,10:35,4858,2,right,right,true,false,blicket
subid, subage, version, counter, mod, targetname, response, chosetarget, targetnamecheck, modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside,sidesmatchorder,targetnamefirst,distractorname 
0,0,v3,1,new,sprock,yes,true,sprock,new,12/3/2019,10:37,5988,1,left,left,false,false,gade
0,0,v3,2,new,blicket,no,false,blicket,new,12/3/2019,10:37,4489,2,right,left,false,true,koba
0,0,v3,3,,toma,no,false,toma,nomodifier,12/3/2019,10:37,5152,1,left,right,true,true,boti
subid, subage, version, counter, mod, targetname, response, chosetarget, targetnamecheck, modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside,sidesmatchorder,targetnamefirst,distractorname 
subid, subage, version, counter, mod, targetname, response, chosetarget, targetnamecheck, modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside,sidesmatchorder,targetnamefirst,distractorname 
0,0,v3,4,,wug,yes,false,wug,nomodifier,12/3/2019,10:37,112646,2,right,left,true,false,zorp
subid, subage, version, counter, mod, targetname, response, chosetarget, targetnamecheck, modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside,sidesmatchorder,targetnamefirst,distractorname 
0,0,v8,1,,blicket,yes,true,blicket,nomodifier,12/3/2019,10:40,8523,1,left,left,false,false,koba
subid, subage, version, counter, mod, targetname, response, chosetarget, targetnamecheck, modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside,sidesmatchorder,targetnamefirst,distractorname 
0,0,v8,2,new,zorp,no,true,zorp,new,12/3/2019,10:40,46732,1,left,left,true,true,wug
subid, subage, version, counter, mod, targetname, response, chosetarget, targetnamecheck, modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside,sidesmatchorder,targetnamefirst,distractorname 
0,0,v8,3,new,boti,yes,false,boti,new,12/3/2019,10:40,20270,2,right,left,true,false,toma
subid, subage, version, counter, mod, targetname, response, chosetarget, targetnamecheck, modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside,sidesmatchorder,targetnamefirst,distractorname 
0,0,v8,4,,sprock,no,false,sprock,nomodifier,12/3/2019,10:40,10061,2,right,left,false,true,gade
0,0,v3,1,,toma,no,false,toma,nomodifier,12/3/2019,10:42,44158,1,left,right,true,true,boti
0,0,v3,2,new,blicket,no,false,blicket,new,12/3/2019,10:42,27543,2,right,left,true,false,koba
0,0,v3,3,new,sprock,yes,true,sprock,new,12/3/2019,10:42,4640,2,right,right,false,true,gade
0,0,v3,4,,wug,yes,true,wug,nomodifier,12/3/2019,10:42,16818,1,left,left,false,false,zorp
